Nonterminal,First,Follow,$,ID,;,[,NUM,],(,),int,void,",",{,},break,if,endif,else,for,return,=,<,==,+,-,*
B,"=, [, <, ==, *, +, -, (",";, ), ], ,",,,B ::= Simple_expression_prime,B ::= [ Expression ] H,,B ::= Simple_expression_prime,B ::= Simple_expression_prime,B ::= Simple_expression_prime,,,B ::= Simple_expression_prime,,,,,,,,,B ::= = Expression,B ::= Simple_expression_prime,B ::= Simple_expression_prime,B ::= Simple_expression_prime,B ::= Simple_expression_prime,B ::= Simple_expression_prime

H,"=, *, +, -, <, ==",";, ), ], ,",,,H ::= G D C,,,H ::= G D C,,H ::= G D C,,,H ::= G D C,,,,,,,,,H ::= = Expression,H ::= G D C,H ::= G D C,H ::= G D C,H ::= G D C,H ::= G D C

Simple_expression_zegond,"+, -, (, NUM",";, ), ], ,",,,,,Simple_expression_zegond ::= Additive_expression_zegond C,,Simple_expression_zegond ::= Additive_expression_zegond C,,,,,,,,,,,,,,,,Simple_expression_zegond ::= Additive_expression_zegond C,Simple_expression_zegond ::= Additive_expression_zegond C,

Simple_expression_prime,"<, ==, *, +, -, (",";, ), ], ,",,,Simple_expression_prime ::= Additive_expression_prime C,,,Simple_expression_prime ::= Additive_expression_prime C,Simple_expression_prime ::= Additive_expression_prime C,Simple_expression_prime ::= Additive_expression_prime C,,,Simple_expression_prime ::= Additive_expression_prime C,,,,,,,,,,Simple_expression_prime ::= Additive_expression_prime C,Simple_expression_prime ::= Additive_expression_prime C,Simple_expression_prime ::= Additive_expression_prime C,Simple_expression_prime ::= Additive_expression_prime C,Simple_expression_prime ::= Additive_expression_prime C

C,"<, ==",";, ), ], ,",,,C ::= '',,,C ::= '',,C ::= '',,,C ::= '',,,,,,,,,,C ::= Relop Additive_expression,C ::= Relop Additive_expression,,,

Relop,"<, ==","+, -, (, ID, NUM",,,,,,,,,,,,,,,,,,,,,Relop ::= <,Relop ::= ==,,,

Additive_expression,"+, -, (, ID, NUM",";, ), ], ,",,Additive_expression ::= Term D,,,Additive_expression ::= Term D,,Additive_expression ::= Term D,,,,,,,,,,,,,,,,Additive_expression ::= Term D,Additive_expression ::= Term D,

Additive_expression_prime,"*, +, -, (",";, ), <, ==, ], ,",,,Additive_expression_prime ::= Term_prime D,,,Additive_expression_prime ::= Term_prime D,Additive_expression_prime ::= Term_prime D,Additive_expression_prime ::= Term_prime D,,,Additive_expression_prime ::= Term_prime D,,,,,,,,,,Additive_expression_prime ::= Term_prime D,Additive_expression_prime ::= Term_prime D,Additive_expression_prime ::= Term_prime D,Additive_expression_prime ::= Term_prime D,Additive_expression_prime ::= Term_prime D

Additive_expression_zegond,"+, -, (, NUM",";, ), <, ==, ], ,",,,,,Additive_expression_zegond ::= Term_zegond D,,Additive_expression_zegond ::= Term_zegond D,,,,,,,,,,,,,,,,Additive_expression_zegond ::= Term_zegond D,Additive_expression_zegond ::= Term_zegond D,

D,"+, -",";, ), <, ==, ], ,",,,D ::= '',,,D ::= '',,D ::= '',,,D ::= '',,,,,,,,,,D ::= '',D ::= '',D ::= Addop Term D,D ::= Addop Term D,

Addop,"+, -","+, -, (, ID, NUM",,,,,,,,,,,,,,,,,,,,,,,Addop ::= +,Addop ::= -,

Term,"+, -, (, ID, NUM",";, ), +, -, <, ==, ], ,",,Term ::= Signed_factor G,,,Term ::= Signed_factor G,,Term ::= Signed_factor G,,,,,,,,,,,,,,,,Term ::= Signed_factor G,Term ::= Signed_factor G,

Term_prime,"*, (",";, ), <, ==, +, -, ], ,",,,Term_prime ::= Signed_factor_prime G,,,Term_prime ::= Signed_factor_prime G,Term_prime ::= Signed_factor_prime G,Term_prime ::= Signed_factor_prime G,,,Term_prime ::= Signed_factor_prime G,,,,,,,,,,Term_prime ::= Signed_factor_prime G,Term_prime ::= Signed_factor_prime G,Term_prime ::= Signed_factor_prime G,Term_prime ::= Signed_factor_prime G,Term_prime ::= Signed_factor_prime G

Term_zegond,"+, -, (, NUM",";, ), <, ==, +, -, ], ,",,,,,Term_zegond ::= Signed_factor_zegond G,,Term_zegond ::= Signed_factor_zegond G,,,,,,,,,,,,,,,,Term_zegond ::= Signed_factor_zegond G,Term_zegond ::= Signed_factor_zegond G,

G,*,";, ), <, ==, +, -, ], ,",,,G ::= '',,,G ::= '',,G ::= '',,,G ::= '',,,,,,,,,,G ::= '',G ::= '',G ::= '',G ::= '',G ::= * Signed_factor G

Signed_factor,"+, -, (, ID, NUM",";, ), +, -, <, ==, *, ], ,",,Signed_factor ::= Factor,,,Signed_factor ::= Factor,,Signed_factor ::= Factor,,,,,,,,,,,,,,,,Signed_factor ::= + Factor,Signed_factor ::= - Factor,

Signed_factor_prime,(,";, ), <, ==, +, -, *, ], ,",,,Signed_factor_prime ::= Factor_prime,,,Signed_factor_prime ::= Factor_prime,Signed_factor_prime ::= Factor_prime,Signed_factor_prime ::= Factor_prime,,,Signed_factor_prime ::= Factor_prime,,,,,,,,,,Signed_factor_prime ::= Factor_prime,Signed_factor_prime ::= Factor_prime,Signed_factor_prime ::= Factor_prime,Signed_factor_prime ::= Factor_prime,Signed_factor_prime ::= Factor_prime

Signed_factor_zegond,"+, -, (, NUM",";, ), <, ==, +, -, *, ], ,",,,,,Signed_factor_zegond ::= Factor_zegond,,Signed_factor_zegond ::= Factor_zegond,,,,,,,,,,,,,,,,Signed_factor_zegond ::= + Factor,Signed_factor_zegond ::= - Factor,

Factor,"(, ID, NUM",";, ), +, -, <, ==, *, ], ,",,Factor ::= ID Var_call_prime,,,Factor ::= NUM,,Factor ::= ( Expression ),,,,,,,,,,,,,,,,,,

Var_call_prime,"(, [",";, ), +, -, <, ==, *, ], ,",,,Var_call_prime ::= Var_prime,Var_call_prime ::= Var_prime,,Var_call_prime ::= Var_prime,Var_call_prime ::= ( Args ),Var_call_prime ::= Var_prime,,,Var_call_prime ::= Var_prime,,,,,,,,,,Var_call_prime ::= Var_prime,Var_call_prime ::= Var_prime,Var_call_prime ::= Var_prime,Var_call_prime ::= Var_prime,Var_call_prime ::= Var_prime

Var_prime,[,";, ), +, -, <, ==, *, ], ,",,,Var_prime ::= '',Var_prime ::= [ Expression ],,Var_prime ::= '',,Var_prime ::= '',,,Var_prime ::= '',,,,,,,,,,Var_prime ::= '',Var_prime ::= '',Var_prime ::= '',Var_prime ::= '',Var_prime ::= ''

Factor_prime,(,";, ), <, ==, +, -, *, ], ,",,,Factor_prime ::= '',,,Factor_prime ::= '',Factor_prime ::= ( Args ),Factor_prime ::= '',,,Factor_prime ::= '',,,,,,,,,,Factor_prime ::= '',Factor_prime ::= '',Factor_prime ::= '',Factor_prime ::= '',Factor_prime ::= ''

Factor_zegond,"(, NUM",";, ), <, ==, +, -, *, ], ,",,,,,Factor_zegond ::= NUM,,Factor_zegond ::= ( Expression ),,,,,,,,,,,,,,,,,,

Args,"ID, +, -, (, NUM",),,Args ::= Arg_list,,,Args ::= Arg_list,,Args ::= Arg_list,Args ::= '',,,,,,,,,,,,,,,Args ::= Arg_list,Args ::= Arg_list,

Arg_list,"ID, +, -, (, NUM",),,Arg_list ::= Expression Arg_list_prime,,,Arg_list ::= Expression Arg_list_prime,,Arg_list ::= Expression Arg_list_prime,,,,,,,,,,,,,,,,Arg_list ::= Expression Arg_list_prime,Arg_list ::= Expression Arg_list_prime,

Arg_list_prime,",",),,,,,,,,Arg_list_prime ::= '',,,"Arg_list_prime ::= , Expression Arg_list_prime",,,,,,,,,,,,,,
